,P
3471,1898.880698
3471.5,1909.298693
3472,1913.158764
3472.5,1911.307913
3473,1904.51943
3473.5,1893.573091
3474,1879.46216
3474.5,1864.773061
3475,1853.421111
3475.5,1847.954285
3476,1847.550884
3476.5,1848.76927
3477,1848.681118
3477.5,1846.15386
3478,1841.413037
3478.5,1834.744627
3479,1827.054064
3479.5,1820.886096
3480,1818.798666
3480.5,1821.832675
3481,1829.238024
3481.5,1839.902156
3482,1853.121908
3482.5,1868.342252
3483,1884.446602
3483.5,1899.748974
3484,1913.0546
3484.5,1923.816274
3485,1932.028446
3485.5,1936.803041
3486,1936.27214
3486.5,1928.447814
3487,1912.809167
3487.5,1892.189695
3488,1871.834623
3488.5,1856.856
3489,1849.111353
3489.5,1847.41763
3490,1849.244777
3490.5,1852.151068
3491,1853.022952
3491.5,1847.507272
3492,1833.438022
3492.5,1813.368737
3493,1793.629126
3493.5,1779.495805
3494,1771.696273
3494.5,1767.506013
3495,1764.269925
3495.5,1762.293623
3496,1763.781878
3496.5,1770.893349
3497,1782.649793
3497.5,1794.289679
3498,1801.179311
3498.5,1802.10407
3499,1799.723725
3499.5,1796.66264
3500,1793.905777
3500.5,1791.79422
3501,1792.953318
3501.5,1801.64906
3502,1818.327137
3502.5,1836.924674
3503,1848.360006
3503.5,1848.405548
3504,1840.7135
3504.5,1833.305015
3505,1831.238929
3505.5,1833.602464
3506,1836.24931
3506.5,1835.904659
3507,1833.361597
3507.5,1832.84224
3508,1838.255418
3508.5,1849.133366
3509,1860.939722
3509.5,1869.903625
3510,1876.58591
3510.5,1884.799164
3511,1897.237763
3511.5,1913.7915
3512,1933.348081
3512.5,1956.046158
3513,1982.864033
3513.5,2012.82807
3514,2042.17662
3514.5,2066.474404
3515,2083.543397
3515.5,2093.670739
3516,2097.978882
3516.5,2097.096347
3517,2091.374328
3517.5,2081.098607
3518,2066.195914
3518.5,2046.906022
3519,2024.66118
3519.5,2001.689088
3520,1979.445447
3520.5,1957.925727
3521,1936.724606
3521.5,1916.179794
3522,1896.846406
3522.5,1878.917189
3523,1862.737148
3523.5,1849.560475
3524,1840.755639
3524.5,1836.006519
3525,1833.728614
3525.5,1833.83473
3526,1839.763842
3526.5,1856.302498
3527,1884.848979
3527.5,1921.277696
3528,1958.641534
3528.5,1991.707489
3529,2018.615812
3529.5,2039.647116
3530,2054.940186
3530.5,2063.576072
3531,2064.394468
3531.5,2057.288057
3532,2043.919472
3532.494681,2026.977465
3532.989362,2008.759763
3533.484043,1990.064496
3533.978723,1970.818537
3534.473404,1951.789724
3534.968085,1934.975813
3535.462766,1922.015348
3535.957447,1912.153419
3536.452128,1902.312439
3536.946809,1889.613871
3537.441489,1873.877025
3537.93617,1857.768258
3538.430851,1844.436793
3538.925532,1834.609599
3539.420213,1825.232716
3539.914894,1811.013478
3540.409574,1788.196856
3540.904255,1757.839248
3541.398936,1726.570617
3541.893617,1703.74083
3542.388298,1695.14233
3542.882979,1699.413672
3543.37766,1710.67872
3543.87234,1724.194611
3544.367021,1739.224152
3544.861702,1757.011473
3545.356383,1777.188714
3545.851064,1795.808307
3546.345745,1808.495702
3546.840426,1814.278931
3547.335106,1816.393984
3547.829787,1819.785979
3548.324468,1827.08339
3548.819149,1837.716481
3549.31383,1850.788173
3549.808511,1868.57347
3550.303191,1894.857109
3550.797872,1930.321682
3551.292553,1969.940231
3551.787234,2005.103937
3552.281915,2029.850383
3552.776596,2044.202767
3553.271277,2052.115669
3553.765957,2056.711894
3554.260638,2058.181021
3554.755319,2055.748301
3555.25,2050.670735
3555.744681,2047.525882
3556.239362,2050.9626
3556.734043,2061.709813
3557.228723,2075.870203
3557.723404,2087.894453
3558.218085,2094.686793
3558.712766,2096.977689
3559.207447,2097.561606
3559.702128,2097.99309
3560.196809,2097.862225
3560.691489,2095.912732
3561.18617,2090.923876
3561.680851,2081.656962
3562.175532,2066.183181
3562.670213,2042.116144
3563.164894,2008.324844
3563.659574,1967.58782
3564.154255,1926.449079
3564.648936,1891.751747
3565.143617,1865.391686
3565.638298,1843.61437
3566.132979,1822.291257
3566.62766,1801.424278
3567.12234,1784.738648
3567.617021,1774.816967
3568.111702,1770.673229
3568.606383,1768.725299
3569.101064,1764.854563
3569.595745,1756.54815
3570.090426,1744.142477
3570.585106,1731.948796
3571.079787,1727.075377
3571.574468,1736.942765
3572.069149,1766.164127
3572.56383,1814.140806
3573.058511,1873.743098
3573.553191,1933.483449
3574.047872,1984.517205
3574.542553,2024.963084
3575.037234,2059.092313
3575.531915,2091.217009
3576.026596,2121.099872
3576.521277,2145.558989
3577.015957,2163.180506
3577.510638,2175.199388
3578.005319,2182.663768
3578.5,2185.327979
3578.994681,2182.549251
3579.489362,2174.843048
3579.984043,2163.941613
3580.478723,2151.936354
3580.973404,2140.3396
3581.468085,2128.209042
3581.962766,2111.375551
3582.457447,2085.395711
3582.952128,2051.342281
3583.446809,2017.239599
3583.941489,1990.751995
3584.43617,1971.879054
3584.930851,1954.123525
3585.425532,1933.444045
3585.920213,1912.394985
3586.414894,1895.99298
3586.909574,1883.58959
3587.404255,1867.912379
3587.898936,1842.215678
3588.393617,1805.819631
3588.888298,1767.120181
3589.382979,1739.915935
3589.87766,1734.876306
3590.37234,1750.256033
3590.867021,1773.07145
3591.361702,1791.172797
3591.856383,1803.325092
3592.351064,1817.887161
3592.845745,1841.599955
3593.340426,1872.350885
3593.835106,1903.088677
3594.329787,1929.157808
3594.824468,1950.441836
3595.319149,1966.638299
3595.81383,1973.952353
3596.308511,1968.53752
3596.803191,1954.006888
3597.297872,1944.375668
3597.792553,1955.591798
3598.287234,1993.426149
3598.781915,2048.666398
3599.276596,2104.85666
3599.771277,2149.102613
3600.265957,2176.690871
3600.760638,2190.082227
3601.255319,2195.455501
3601.75,2198.538044
3602.244681,2201.776609
3602.739362,2204.69191
3603.234043,2205.67333
3603.728723,2202.224976
3604.223404,2191.661278
3604.718085,2173.782397
3605.212766,2153.991739
3605.707447,2142.837774
3606.202128,2148.164239
3606.696809,2167.428113
3607.191489,2189.357015
3607.68617,2203.573369
3608.180851,2207.105308
3608.675532,2202.756649
3609.170213,2194.009888
3609.664894,2182.365582
3610.159574,2169.639333
3610.654255,2159.416376
3611.148936,2154.811699
3611.643617,2155.678642
3612.138298,2158.699578
3612.632979,2160.606856
3613.12766,2160.287517
3613.62234,2159.392104
3614.117021,2160.736967
3614.611702,2165.769559
3615.106383,2173.381738
3615.601064,2180.467074
3616.095745,2184.845127
3616.590426,2186.49148
3617.085106,2186.351371
3617.579787,2183.032178
3618.074468,2172.341276
3618.569149,2151.869615
3619.06383,2125.457098
3619.558511,2102.816467
3620.053191,2092.270875
3620.547872,2093.939939
3621.042553,2100.646793
3621.537234,2105.223288
3622.031915,2105.559319
3622.526596,2103.540902
3623.021277,2102.081119
3623.515957,2103.201549
3624.010638,2107.201736
3624.505319,2112.505493
3625,2116.286583
3625.494737,2116.018572
3625.989474,2110.751819
3626.484211,2102.039052
3626.978947,2093.894271
3627.473684,2092.741579
3627.968421,2104.81132
3628.463158,2130.832863
3628.957895,2162.797661
3629.452632,2188.136028
3629.947368,2198.938011
3630.442105,2196.666101
3630.936842,2189.491774
3631.431579,2184.801545
3631.926316,2184.951016
3632.421053,2188.635588
3632.915789,2194.338863
3633.410526,2201.486901
3633.905263,2209.86274
3634.4,2219.627248
3634.894737,2230.979741
3635.389474,2243.968805
3635.884211,2258.131665
3636.378947,2272.333692
3636.873684,2284.760516
3637.368421,2293.289925
3637.863158,2296.932472
3638.357895,2296.738027
3638.852632,2295.873152
3639.347368,2297.698648
3639.842105,2303.032608
3640.336842,2309.846936
3640.831579,2315.004242
3641.326316,2316.68525
3641.821053,2314.878732
3642.315789,2310.97056
3642.810526,2307.203704
3643.305263,2304.928971
3643.8,2303.773688
3644.294737,2302.343117
3644.789474,2300.401428
3645.284211,2299.853292
3645.778947,2302.543604
3646.273684,2307.592805
3646.768421,2310.864355
3647.263158,2307.713272
3647.757895,2295.36499
3648.252632,2274.156691
3648.747368,2248.038669
3649.242105,2221.885295
3649.736842,2197.661199
3650.231579,2174.027481
3650.726316,2150.259383
3651.221053,2129.210159
3651.715789,2114.123334
3652.210526,2103.676527
3652.705263,2092.400234
3653.2,2077.602512
3653.694737,2063.232137
3654.189474,2054.240249
3654.684211,2049.652212
3655.178947,2042.171326
3655.673684,2025.508687
3656.168421,2000.202655
3656.663158,1973.971537
3657.157895,1957.123643
3657.652632,1957.066559
3658.147368,1975.06436
3658.642105,2005.405793
3659.136842,2039.988252
3659.631579,2073.872409
3660.126316,2106.148518
3660.621053,2136.201485
3661.115789,2161.256511
3661.610526,2179.218005
3662.105263,2192.081598
3662.6,2204.411433
3663.094737,2218.718046
3663.589474,2233.358155
3664.084211,2245.898351
3664.578947,2256.372461
3665.073684,2267.22466
3665.568421,2280.576696
3666.063158,2296.410609
3666.557895,2312.258794
3667.052632,2324.434773
3667.547368,2330.84693
3668.042105,2332.260139
3668.536842,2331.314538
3669.031579,2329.930403
3669.526316,2328.242221
3670.021053,2325.477315
3670.515789,2321.611788
3671.010526,2317.253552
3671.505263,2312.407842
3672,2305.209272
3672.494737,2292.306372
3672.989474,2271.154794
3673.484211,2242.378023
3673.978947,2210.729484
3674.473684,2182.567888
3674.968421,2161.871969
3675.463158,2147.710241
3675.957895,2136.176126
3676.452632,2124.218618
3676.947368,2111.52911
3677.442105,2099.45329
3677.936842,2088.733092
3678.431579,2078.912148
3678.926316,2069.118613
3679.421053,2057.872567
3679.915789,2043.463241
3680.410526,2025.510166
3680.905263,2006.543002
3681.4,1989.945414
3681.894737,1977.234276
3682.389474,1967.31421
3682.884211,1958.284814
3683.378947,1950.664447
3683.873684,1946.064929
3684.368421,1945.200003
3684.863158,1946.887337
3685.357895,1949.886969
3685.852632,1953.645973
3686.347368,1958.528441
3686.842105,1964.958142
3687.336842,1971.533105
3687.831579,1976.208088
3688.326316,1977.705733
3688.821053,1977.05671
3689.315789,1977.992943
3689.810526,1984.692634
3690.305263,1998.066399
3690.8,2014.514276
3691.294737,2029.301855
3691.789474,2040.593549
3692.284211,2050.89489
3692.778947,2064.193087
3693.273684,2080.577594
3693.768421,2094.624057
3694.263158,2099.288886
3694.757895,2092.36443
3695.252632,2078.600123
3695.747368,2066.363071
3696.242105,2061.018813
3696.736842,2062.068224
3697.231579,2066.19417
3697.726316,2070.894886
3698.221053,2075.564494
3698.715789,2079.852775
3699.210526,2082.702751
3699.705263,2082.249193
3700.2,2076.707011
3700.694737,2065.534914
3701.189474,2050.176841
3701.684211,2033.477598
3702.178947,2017.550464
3702.673684,2002.490612
3703.168421,1986.724859
3703.663158,1969.764205
3704.157895,1953.702191
3704.652632,1940.587463
3705.147368,1929.446275
3705.642105,1916.476312
3706.136842,1899.194638
3706.631579,1878.716408
3707.126316,1857.689316
3707.621053,1835.755839
3708.115789,1809.565612
3708.610526,1778.468766
3709.105263,1748.263716
3709.6,1728.230346
3710.094737,1723.57539
3710.589474,1730.86981
3711.084211,1742.639603
3711.578947,1755.193547
3712.073684,1770.383812
3712.568421,1791.315626
3713.063158,1818.261464
3713.557895,1849.044875
3714.052632,1880.71625
3714.547368,1910.816114
3715.042105,1937.079375
3715.536842,1957.468455
3716.031579,1970.899915
3716.526316,1976.955527
3717.021053,1975.960594
3717.515789,1969.414295
3718.010526,1960.188033
3718.505263,1951.106459
3719,1943.28015
3719.494737,1936.73614
3719.989474,1931.816383
3720.484211,1930.515332
3720.978947,1934.563243
3721.473684,1942.749189
3721.968421,1951.137075
3722.463158,1955.842201
3722.957895,1956.057932
3723.452632,1953.564134
3723.947368,1950.78536
3724.442105,1949.026186
3724.936842,1948.936978
3725.431579,1951.512484
3725.926316,1958.056633
3726.421053,1970.238858
3726.915789,1989.758377
3727.410526,2017.837463
3727.905263,2053.628124
3728.4,2092.864815
3728.894737,2129.078037
3729.389474,2156.78676
3729.884211,2174.470837
3730.378947,2184.642597
3730.873684,2191.325988
3731.368421,2197.085471
3731.863158,2201.504801
3732.357895,2202.724818
3732.852632,2200.335763
3733.347368,2196.831366
3733.842105,2196.173029
3734.336842,2200.612381
3734.831579,2209.137433
3735.326316,2218.669531
3735.821053,2226.513628
3736.315789,2231.280652
3736.810526,2232.418614
3737.305263,2230.135086
3737.8,2225.189536
3738.294737,2218.783062
3738.789474,2212.143388
3739.284211,2206.032244
3739.778947,2200.503155
3740.273684,2194.825547
3740.768421,2188.2425
3741.263158,2181.040489
3741.757895,2175.538639
3742.252632,2174.656917
3742.747368,2178.566116
3743.242105,2183.544724
3743.736842,2184.429859
3744.231579,2178.519934
3744.726316,2166.723686
3745.221053,2152.156592
3745.715789,2137.949406
3746.210526,2126.351152
3746.705263,2118.732058
3747.2,2115.028672
3747.694737,2113.843317
3748.189474,2113.091787
3748.684211,2111.103568
3749.178947,2107.200753
3749.673684,2101.821802
3750.168421,2096.577895
3750.663158,2093.662293
3751.157895,2094.608513
3751.652632,2099.174684
3752.147368,2105.585622
3752.642105,2111.975183
3753.136842,2117.4828
3753.631579,2121.974463
3754.126316,2125.348108
3754.621053,2127.570065
3755.115789,2128.770914
3755.610526,2129.00328
3756.105263,2126.995156
3756.6,2120.667459
3757.094737,2109.884654
3757.589474,2098.220756
3758.084211,2091.499518
3758.578947,2093.596211
3759.073684,2104.204788
3759.568421,2119.810455
3760.063158,2136.585963
3760.557895,2150.425609
3761.052632,2157.221301
3761.547368,2155.74652
3762.042105,2148.77589
3762.536842,2140.154642
3763.031579,2130.18921
3763.526316,2116.917894
3764.021053,2101.207
3764.515789,2089.169731
3765.010526,2087.661634
3765.505263,2097.600977
3766,2114.553322
3766.494737,2131.107031
3766.989474,2139.798409
3767.484211,2137.034809
3767.978947,2125.441545
3768.473684,2112.489109
3768.968421,2102.403867
3769.463158,2092.625811
3769.957895,2078.364988
3770.452632,2061.833886
3770.947368,2052.443244
3771.442105,2056.482656
3771.936842,2071.79287
3772.431579,2091.323631
3772.926316,2110.509091
3773.421053,2127.607713
3773.915789,2141.136153
3774.410526,2149.386103
3774.905263,2152.52268
3775.4,2153.497371
3775.894737,2155.811653
3776.389474,2163.388566
3776.884211,2180.017756
3777.378947,2205.681728
3777.873684,2234.476012
3778.368421,2258.812607
3778.863158,2277.083963
3779.357895,2293.875238
3779.852632,2312.002112
3780.347368,2327.216104
3780.842105,2332.698561
3781.336842,2326.741401
3781.831579,2313.782399
3782.326316,2300.764558
3782.821053,2293.701358
3783.315789,2296.574467
3783.810526,2309.846465
3784.305263,2328.824744
3784.8,2345.744076
3785.294737,2355.322631
3785.789474,2357.891545
3786.284211,2357.85495
3786.778947,2359.008899
3787.273684,2360.439004
3787.768421,2357.205952
3788.263158,2344.686204
3788.757895,2323.732127
3789.252632,2301.875537
3789.747368,2289.633853
3790.242105,2293.69357
3790.736842,2312.215713
3791.231579,2337.530279
3791.726316,2361.540475
3792.221053,2379.136977
3792.715789,2387.398746
3793.210526,2384.50056
3793.705263,2371.010572
3794.2,2351.481991
3794.694737,2333.20396
3795.189474,2321.27646
3795.684211,2314.992793
3796.178947,2309.299502
3796.673684,2300.617627
3797.168421,2291.448257
3797.663158,2288.892567
3798.157895,2298.008423
3798.652632,2315.821949
3799.147368,2332.790648
3799.642105,2340.501769
3800.136842,2336.792842
3800.631579,2325.363505
3801.126316,2311.566224
3801.621053,2299.052088
3802.115789,2289.582704
3802.610526,2284.992682
3803.105263,2287.71949
3803.6,2297.889962
3804.094737,2311.34979
