,TVD,PP,FP,PP_ED,FP_ED,PP_ED_SF,FP_ED_SF,MW
6856,3428,1571.518261,2426.121709,8.816074978,13.61032285,9.316074978,13.11032285,10.9
6857,3428.5,1573.528657,2427.55441,8.826065769,13.61637411,9.326065769,13.11637411,10.9
6858,3429,1575.444622,2429.964045,8.83552405,13.62790253,9.33552405,13.12790253,10.9
6859,3429.5,1577.316312,2433.269565,8.8447313,13.64445123,9.3447313,13.14445123,10.9
6860,3430,1579.470357,2436.268834,8.855518935,13.65927806,9.355518935,13.15927806,10.9
6861,3430.5,1582.090644,2438.181664,8.868917088,13.66801018,9.368917088,13.16801018,10.9
6862,3431,1585.019181,2439.585291,8.884039086,13.67388567,9.384039086,13.17388567,10.9
6863,3431.5,1587.935874,2441.423954,8.899090294,13.68219748,9.399090294,13.18219748,10.9
6864,3432,1590.63909,2443.953561,8.912940932,13.69437848,9.412940932,13.19437848,10.9
6865,3432.5,1593.131078,2446.883434,8.925604111,13.70879844,9.425604111,13.20879844,10.9
6866,3433,1595.486219,2450.05037,8.937497027,13.72454217,9.437497027,13.22454217,10.9
6867,3433.5,1597.72796,2453.527314,8.948751332,13.74201764,9.448751332,13.24201764,10.9
6868,3434,1599.828666,2457.305371,8.959212548,13.76117429,9.459212548,13.26117429,10.9
6869,3434.5,1601.813109,2461.126621,8.969019726,13.78056722,9.469019726,13.28056722,10.9
6870,3435,1603.81357,2464.691447,8.978913726,13.7985189,9.478913726,13.2985189,10.9
6871,3435.5,1606.047163,2467.655211,8.990109843,13.81310083,9.490109843,13.31310083,10.9
6872,3436,1608.69113,2469.856169,9.003599499,13.8234092,9.503599499,13.3234092,10.9
6873,3436.5,1611.709066,2471.597798,9.019177979,13.83114415,9.519177979,13.33114415,10.9
6874,3437,1614.852222,2473.42826,9.035452553,13.83937389,9.535452553,13.33937389,10.9
6875,3437.5,1617.889205,2475.520513,9.051128421,13.84906581,9.551128421,13.34906581,10.9
6876,3438,1620.865076,2477.578084,9.06645789,13.8585609,9.56645789,13.3585609,10.9
6877,3438.5,1624.040554,2479.298307,9.082899264,13.86616652,9.582899264,13.36616652,10.9
6878,3439,1627.537317,2480.31287,9.101132466,13.86982391,9.601132466,13.36982391,10.9
6879,3439.5,1631.056353,2480.676287,9.119484905,13.86983957,9.619484905,13.36983957,10.9
6880,3440,1634.061606,2481.210801,9.134959781,13.87081172,9.634959781,13.37081172,10.9
6881,3440.5,1636.298514,2482.545552,9.146135481,13.87625654,9.646135481,13.37625654,10.9
6882,3441,1637.986574,2484.315913,9.154240572,13.88413427,9.654240572,13.38413427,10.9
6883,3441.5,1639.542581,2485.669984,9.161605408,13.88968353,9.661605408,13.38968353,10.9
6884,3442,1641.190098,2486.32536,9.169479384,13.89132749,9.669479384,13.39132749,10.9
6885,3442.5,1642.874842,2486.52566,9.177559031,13.8904288,9.677559031,13.3904288,10.9
6886,3443,1644.461361,2486.485642,9.185087697,13.88818808,9.685087697,13.38818808,10.9
6887,3443.5,1645.919314,2486.22009,9.191896181,13.88468849,9.691896181,13.38468849,10.9
6888,3444,1647.320616,2485.890167,9.19838636,13.88083047,9.69838636,13.38083047,10.9
6889,3444.5,1648.710835,2485.902972,9.20481277,13.87888703,9.70481277,13.37888703,10.9
6890,3445,1650.029562,2486.455476,9.210838239,13.87995688,9.710838239,13.37995688,10.9
6891,3445.5,1651.127515,2487.281929,9.215629726,13.88255544,9.715629726,13.38255544,10.9
6892,3446,1651.844235,2487.846587,9.218292305,13.88369228,9.718292305,13.38369228,10.9
6893,3446.5,1652.075323,2487.793367,9.218244388,13.88138115,9.718244388,13.38138115,10.9
6894,3447,1651.746279,2487.134707,9.215071517,13.87569295,9.715071517,13.37569295,10.9
6895,3447.5,1650.839085,2486.063726,9.208674542,13.8677064,9.708674542,13.3677064,10.9
6896,3448,1649.530499,2484.834162,9.200040707,13.85883769,9.700040707,13.35883769,10.9
6897,3448.5,1648.258296,2483.538306,9.191612272,13.84960187,9.691612272,13.34960187,10.9
6898,3449,1647.533461,2482.371964,9.186238271,13.84109086,9.686238271,13.34109086,10.9
6899,3449.5,1647.590102,2481.712653,9.185222504,13.835409,9.685222504,13.335409,10.9
6900,3450,1648.256959,2481.602138,9.187608467,13.83278784,9.687608467,13.33278784,10.9
6901,3450.5,1649.117847,2481.639866,9.191075132,13.83099365,9.691075132,13.33099365,10.9
6902,3451,1649.824331,2481.49582,9.193680379,13.82818704,9.693680379,13.32818704,10.9
6903,3451.5,1650.259326,2481.185581,9.194772204,13.82445526,9.694772204,13.32445526,10.9
6904,3452,1650.462738,2480.586618,9.19457359,13.81911611,9.69457359,13.31911611,10.9
6905,3452.5,1650.459174,2479.626152,9.193222156,13.8117649,9.693222156,13.3117649,10.9
6906,3453,1650.144817,2478.504542,9.19014022,13.80351836,9.69014022,13.30351836,10.9
6907,3453.5,1649.333082,2477.400638,9.184289529,13.7953728,9.684289529,13.2953728,10.9
6908,3454,1647.894105,2476.32307,9.174948247,13.78737623,9.674948247,13.28737623,10.9
6909,3454.5,1645.882203,2475.159139,9.162420271,13.7789012,9.662420271,13.2789012,10.9
6910,3455,1643.566105,2474.015201,9.148202743,13.77053992,9.648202743,13.27053992,10.9
6911,3455.5,1641.349932,2473.079825,9.134545439,13.76334175,9.634545439,13.26334175,10.9
6912,3456,1639.643381,2472.5442,9.12372786,13.75837006,9.62372786,13.25837006,10.9
6913,3456.5,1638.724604,2472.401652,9.117296311,13.75558675,9.617296311,13.25558675,10.9
6914,3457,1638.704147,2472.572835,9.115863839,13.75454949,9.615863839,13.25454949,10.9
6915,3457.5,1639.49322,2472.944848,9.118934423,13.75462956,9.618934423,13.25462956,10.9
6916,3458,1640.716621,2473.317565,9.124419522,13.75471351,9.624419522,13.25471351,10.9
6917,3458.5,1641.745396,2473.570333,9.128820834,13.75413048,9.628820834,13.25413048,10.9
6918,3459,1641.97632,2473.745547,9.12878511,13.75311643,9.62878511,13.25311643,10.9
6919,3459.5,1641.235297,2473.884757,9.123346511,13.75190255,9.623346511,13.25190255,10.9
6920,3460,1639.858802,2474.135554,9.114377512,13.75130921,9.614377512,13.25130921,10.9
6921,3460.5,1638.411606,2474.578694,9.105018207,13.75178495,9.605018207,13.25178495,10.9
6922,3461,1637.286911,2475.160615,9.097453556,13.75303167,9.597453556,13.25303167,10.9
6923,3461.5,1636.560555,2475.89786,9.092104107,13.75514095,9.592104107,13.25514095,10.9
6924,3462,1636.170217,2477.015694,9.088622725,13.75936372,9.588622725,13.25936372,10.9
6925,3462.5,1636.115912,2478.602119,9.087008675,13.76618783,9.587008675,13.26618783,10.9
6926,3463,1636.542205,2480.452817,9.088063957,13.77447754,9.588063957,13.27447754,10.9
6927,3463.5,1637.62686,2482.530275,9.092774426,13.78402392,9.592774426,13.28402392,10.9
6928,3464,1639.434122,2484.844574,9.101495171,13.79488238,9.601495171,13.29488238,10.9
6929,3464.5,1641.762426,2487.213782,9.113105597,13.80604251,9.613105597,13.30604251,10.9
6930,3465,1644.171756,2489.016728,9.125162372,13.81405665,9.625162372,13.31405665,10.9
6931,3465.5,1646.220843,2489.836588,9.135216602,13.81661314,9.635216602,13.31661314,10.9
6932,3466,1647.693913,2489.893328,9.142071959,13.8149348,9.642071959,13.3149348,10.9
6933,3466.5,1648.671893,2489.823115,9.146178769,13.81255265,9.646178769,13.31255265,10.9
6934,3467,1649.372113,2489.816956,9.148743724,13.81052648,9.648743724,13.31052648,10.9
6935,3467.5,1650.016186,2489.774959,9.150996541,13.80830214,9.650996541,13.30830214,10.9
6936,3468,1650.798873,2489.933813,9.154017351,13.8071922,9.654017351,13.3071922,10.9
6937,3468.5,1651.916936,2490.620253,9.158896754,13.80900773,9.658896754,13.30900773,10.9
6938,3469,1653.492888,2491.734119,9.166313104,13.81319222,9.666313104,13.31319222,10.9
6939,3469.5,1655.453919,2492.908746,9.175861732,13.8177123,9.675861732,13.3177123,10.9
6940,3470,1657.560371,2493.850793,9.186213537,13.8209421,9.686213537,13.3209421,10.9
6941,3470.5,1659.505,2494.547941,9.195665668,13.82281394,9.695665668,13.32281394,10.9
6942,3471,1661.050109,2495.118691,9.202901562,13.82398495,9.702901562,13.32398495,10.9
6943,3471.5,1662.091379,2495.734397,9.207344303,13.82540465,9.707344303,13.32540465,10.9
6944,3472,1662.639765,2496.519489,9.209055768,13.82776214,9.709055768,13.32776214,10.9
6945,3472.5,1662.760002,2497.36647,9.208395647,13.83046171,9.708395647,13.33046171,10.9
6946,3473,1662.518656,2498.080606,9.205733551,13.83242489,9.705733551,13.33242489,10.9
6947,3473.5,1661.9865,2498.617117,9.20146217,13.83340411,9.70146217,13.33340411,10.9
6948,3474,1661.247056,2498.997745,9.196044551,13.83352013,9.696044551,13.33352013,10.9
6949,3474.5,1660.482741,2499.27493,9.190490833,13.83306359,9.690490833,13.33306359,10.9
6950,3475,1659.953519,2499.754391,9.186239728,13.83372657,9.686239728,13.33372657,10.9
6951,3475.5,1659.830875,2500.805844,9.184239539,13.83755433,9.684239539,13.33755433,10.9
6952,3476,1660.062944,2502.33897,9.184202355,13.84404582,9.684202355,13.34404582,10.9
6953,3476.5,1660.409762,2503.912731,9.184799931,13.85076022,9.684799931,13.35076022,10.9
6954,3477,1660.664973,2505.518479,9.184890671,13.8576496,9.684890671,13.3576496,10.9
6955,3477.5,1660.753991,2507.581861,9.184062331,13.86706775,9.684062331,13.36706775,10.9
6956,3478,1660.697584,2510.145566,9.182430135,13.8792496,9.682430135,13.3792496,10.9
6957,3478.5,1660.517951,2512.781837,9.180117152,13.89182913,9.680117152,13.39182913,10.9
6958,3479,1660.276078,2515.086263,9.177460797,13.90257071,9.677460797,13.40257071,10.9
6959,3479.5,1660.137147,2516.953691,9.17537415,13.91089398,9.67537415,13.41089398,10.9
6960,3480,1660.265114,2518.543128,9.174763007,13.91767865,9.674763007,13.41767865,10.9
6961,3480.5,1660.728552,2520.0729,9.176005616,13.9241317,9.676005616,13.4241317,10.9
6962,3481,1661.484622,2521.634436,9.178864507,13.93075838,9.678864507,13.43075838,10.9
6963,3481.5,1662.467368,2523.010369,9.182974666,13.93635794,9.682974666,13.43635794,10.9
6964,3482,1663.634773,2523.938816,9.188103502,13.93948447,9.688103502,13.43948447,10.9
6965,3482.5,1664.951762,2524.575083,9.194056887,13.94099665,9.694056887,13.44099665,10.9
6966,3483,1666.342658,2525.197288,9.20041663,13.94243075,9.70041663,13.44243075,10.9
6967,3483.5,1667.689639,2525.763044,9.206532107,13.94355281,9.706532107,13.44355281,10.9
6968,3484,1668.905919,2526.130735,9.211924398,13.94358129,9.711924398,13.44358129,10.9
6969,3484.5,1669.948297,2526.598795,9.21635538,13.94416369,9.71635538,13.44416369,10.9
6970,3485,1670.811664,2527.459684,9.219797288,13.94691361,9.719797288,13.44691361,10.9
